peak_id	log2fc	pvalue	padj	significant
peak_001	0.000000	0.2	0.5	FALSE
peak_002	0.000000	0.2	0.5	FALSE
peak_003	0.000000	0.2	0.5	FALSE
peak_004	0.000000	0.2	0.5	FALSE
peak_005	0.000000	0.2	0.5	FALSE
peak_006	-0.749650	1e-6	1e-4	TRUE
peak_007	0.000000	0.2	0.5	FALSE
peak_008	0.000000	0.2	0.5	FALSE
peak_009	-1.068880	1e-6	1e-4	TRUE
peak_010	0.000000	0.2	0.5	FALSE
peak_011	0.000000	0.2	0.5	FALSE
peak_012	-2.626258	1e-6	1e-4	TRUE
peak_013	0.000000	0.2	0.5	FALSE
peak_014	0.000000	0.2	0.5	FALSE
peak_015	2.012081	1e-6	1e-4	TRUE
peak_016	0.000000	0.2	0.5	FALSE
peak_017	1.729316	1e-6	1e-4	TRUE
peak_018	0.000000	0.2	0.5	FALSE
peak_019	0.000000	0.2	0.5	FALSE
peak_020	-1.460049	1e-6	1e-4	TRUE
peak_021	0.000000	0.2	0.5	FALSE
peak_022	1.078227	1e-6	1e-4	TRUE
peak_023	-1.227961	1e-6	1e-4	TRUE
peak_024	0.000000	0.2	0.5	FALSE
peak_025	0.000000	0.2	0.5	FALSE
peak_026	0.000000	0.2	0.5	FALSE
peak_027	0.000000	0.2	0.5	FALSE
peak_028	0.000000	0.2	0.5	FALSE
peak_029	0.000000	0.2	0.5	FALSE
peak_030	-2.727462	1e-6	1e-4	TRUE
peak_031	0.000000	0.2	0.5	FALSE
peak_032	0.000000	0.2	0.5	FALSE
peak_033	0.000000	0.2	0.5	FALSE
peak_034	0.000000	0.2	0.5	FALSE
peak_035	0.000000	0.2	0.5	FALSE
peak_036	0.000000	0.2	0.5	FALSE
peak_037	0.000000	0.2	0.5	FALSE
peak_038	-1.205826	1e-6	1e-4	TRUE
peak_039	0.000000	0.2	0.5	FALSE
peak_040	0.000000	0.2	0.5	FALSE
peak_041	0.000000	0.2	0.5	FALSE
peak_042	0.000000	0.2	0.5	FALSE
peak_043	0.000000	0.2	0.5	FALSE
peak_044	0.000000	0.2	0.5	FALSE
peak_045	0.000000	0.2	0.5	FALSE
peak_046	-2.100677	1e-6	1e-4	TRUE
peak_047	0.000000	0.2	0.5	FALSE
peak_048	0.000000	0.2	0.5	FALSE
peak_049	0.000000	0.2	0.5	FALSE
peak_050	0.000000	0.2	0.5	FALSE
peak_051	-2.203139	1e-6	1e-4	TRUE
peak_052	0.000000	0.2	0.5	FALSE
peak_053	0.000000	0.2	0.5	FALSE
peak_054	0.000000	0.2	0.5	FALSE
peak_055	0.000000	0.2	0.5	FALSE
peak_056	0.000000	0.2	0.5	FALSE
peak_057	-1.280944	1e-6	1e-4	TRUE
peak_058	0.000000	0.2	0.5	FALSE
peak_059	0.000000	0.2	0.5	FALSE
peak_060	0.000000	0.2	0.5	FALSE
peak_061	0.000000	0.2	0.5	FALSE
peak_062	0.000000	0.2	0.5	FALSE
peak_063	0.000000	0.2	0.5	FALSE
peak_064	0.000000	0.2	0.5	FALSE
peak_065	0.000000	0.2	0.5	FALSE
peak_066	0.000000	0.2	0.5	FALSE
peak_067	0.000000	0.2	0.5	FALSE
peak_068	-1.437482	1e-6	1e-4	TRUE
peak_069	0.000000	0.2	0.5	FALSE
peak_070	2.885675	1e-6	1e-4	TRUE
peak_071	-1.179756	1e-6	1e-4	TRUE
peak_072	0.803224	1e-6	1e-4	TRUE
peak_073	1.494695	1e-6	1e-4	TRUE
peak_074	0.000000	0.2	0.5	FALSE
peak_075	0.000000	0.2	0.5	FALSE
peak_076	0.000000	0.2	0.5	FALSE
peak_077	0.000000	0.2	0.5	FALSE
peak_078	0.000000	0.2	0.5	FALSE
peak_079	-2.691686	1e-6	1e-4	TRUE
peak_080	0.000000	0.2	0.5	FALSE
peak_081	0.000000	0.2	0.5	FALSE
peak_082	0.000000	0.2	0.5	FALSE
peak_083	1.575160	1e-6	1e-4	TRUE
peak_084	0.000000	0.2	0.5	FALSE
peak_085	0.000000	0.2	0.5	FALSE
peak_086	0.000000	0.2	0.5	FALSE
peak_087	0.000000	0.2	0.5	FALSE
peak_088	0.000000	0.2	0.5	FALSE
peak_089	0.000000	0.2	0.5	FALSE
peak_090	0.000000	0.2	0.5	FALSE
peak_091	0.000000	0.2	0.5	FALSE
peak_092	0.000000	0.2	0.5	FALSE
peak_093	-2.013606	1e-6	1e-4	TRUE
peak_094	-0.974171	1e-6	1e-4	TRUE
peak_095	0.000000	0.2	0.5	FALSE
peak_096	0.701847	1e-6	1e-4	TRUE
peak_097	0.000000	0.2	0.5	FALSE
peak_098	0.000000	0.2	0.5	FALSE
peak_099	-1.211211	1e-6	1e-4	TRUE
peak_100	0.000000	0.2	0.5	FALSE
peak_101	0.000000	0.2	0.5	FALSE
peak_102	0.000000	0.2	0.5	FALSE
peak_103	0.000000	0.2	0.5	FALSE
peak_104	2.297829	1e-6	1e-4	TRUE
peak_105	0.000000	0.2	0.5	FALSE
peak_106	0.000000	0.2	0.5	FALSE
peak_107	0.000000	0.2	0.5	FALSE
peak_108	-2.412194	1e-6	1e-4	TRUE
peak_109	0.000000	0.2	0.5	FALSE
peak_110	-0.924717	1e-6	1e-4	TRUE
peak_111	0.000000	0.2	0.5	FALSE
peak_112	0.000000	0.2	0.5	FALSE
peak_113	0.000000	0.2	0.5	FALSE
peak_114	0.000000	0.2	0.5	FALSE
peak_115	0.000000	0.2	0.5	FALSE
peak_116	0.000000	0.2	0.5	FALSE
peak_117	0.000000	0.2	0.5	FALSE
peak_118	0.000000	0.2	0.5	FALSE
peak_119	0.000000	0.2	0.5	FALSE
peak_120	0.000000	0.2	0.5	FALSE
peak_121	0.000000	0.2	0.5	FALSE
peak_122	0.000000	0.2	0.5	FALSE
peak_123	0.000000	0.2	0.5	FALSE
peak_124	0.000000	0.2	0.5	FALSE
peak_125	0.000000	0.2	0.5	FALSE
peak_126	0.000000	0.2	0.5	FALSE
peak_127	0.000000	0.2	0.5	FALSE
peak_128	0.000000	0.2	0.5	FALSE
peak_129	0.000000	0.2	0.5	FALSE
peak_130	-2.434063	1e-6	1e-4	TRUE
peak_131	0.000000	0.2	0.5	FALSE
peak_132	0.000000	0.2	0.5	FALSE
peak_133	0.000000	0.2	0.5	FALSE
peak_134	0.000000	0.2	0.5	FALSE
peak_135	0.000000	0.2	0.5	FALSE
peak_136	0.000000	0.2	0.5	FALSE
peak_137	0.000000	0.2	0.5	FALSE
peak_138	0.000000	0.2	0.5	FALSE
peak_139	-2.880999	1e-6	1e-4	TRUE
peak_140	0.000000	0.2	0.5	FALSE
peak_141	-1.014342	1e-6	1e-4	TRUE
peak_142	0.000000	0.2	0.5	FALSE
peak_143	0.000000	0.2	0.5	FALSE
peak_144	0.000000	0.2	0.5	FALSE
peak_145	0.000000	0.2	0.5	FALSE
peak_146	0.000000	0.2	0.5	FALSE
peak_147	-2.690453	1e-6	1e-4	TRUE
peak_148	0.000000	0.2	0.5	FALSE
peak_149	0.000000	0.2	0.5	FALSE
peak_150	-1.780858	1e-6	1e-4	TRUE
peak_151	0.000000	0.2	0.5	FALSE
peak_152	0.000000	0.2	0.5	FALSE
peak_153	0.000000	0.2	0.5	FALSE
peak_154	0.955325	1e-6	1e-4	TRUE
peak_155	0.000000	0.2	0.5	FALSE
peak_156	0.000000	0.2	0.5	FALSE
peak_157	0.821861	1e-6	1e-4	TRUE
peak_158	-1.817932	1e-6	1e-4	TRUE
peak_159	0.000000	0.2	0.5	FALSE
peak_160	0.000000	0.2	0.5	FALSE
peak_161	0.000000	0.2	0.5	FALSE
peak_162	0.000000	0.2	0.5	FALSE
peak_163	-1.050392	1e-6	1e-4	TRUE
peak_164	0.000000	0.2	0.5	FALSE
peak_165	0.000000	0.2	0.5	FALSE
peak_166	0.000000	0.2	0.5	FALSE
peak_167	0.000000	0.2	0.5	FALSE
peak_168	0.000000	0.2	0.5	FALSE
peak_169	0.000000	0.2	0.5	FALSE
peak_170	0.000000	0.2	0.5	FALSE
peak_171	0.000000	0.2	0.5	FALSE
peak_172	0.000000	0.2	0.5	FALSE
peak_173	0.000000	0.2	0.5	FALSE
peak_174	0.000000	0.2	0.5	FALSE
peak_175	0.000000	0.2	0.5	FALSE
peak_176	0.000000	0.2	0.5	FALSE
