read_id	insertion_count	deletion_count	indel_burden
read_0025	62	57	119
read_0013	55	59	114
read_0012	67	39	106
read_0004	60	40	100
read_0019	57	43	100
read_0017	52	46	98
read_0010	48	48	96
read_0015	31	63	94
read_0023	36	56	92
read_0014	28	62	90
read_0021	41	47	88
read_0008	58	28	86
read_0003	47	37	84
read_0001	54	29	83
read_0005	28	50	78
read_0024	45	33	78
read_0020	37	39	76
read_0018	54	19	73
read_0011	51	19	70
read_0016	23	38	61
read_0006	29	28	57
read_0002	22	33	55
read_0022	18	37	55
read_0007	18	34	52
read_0009	25	19	44
