feature_id	case_mean	control_mean	delta_log2
F00025	13.522751	9.059123	4.463628
F00029	14.391538	10.012554	4.378983
F00023	14.836216	10.525289	4.310927
F00009	10.949607	6.843083	4.106525
F00017	13.541290	9.597505	3.943785
F00028	8.769208	12.701046	3.931838
F00007	16.112140	12.200331	3.911809
F00002	7.261542	11.114060	3.852518
F00016	8.436955	12.224786	3.787831
F00027	15.967776	12.190944	3.776832
F00014	10.539788	14.282550	3.742762
F00024	11.944385	15.606396	3.662011
F00026	9.316502	12.943381	3.626879
F00013	10.824896	7.210032	3.614864
F00001	10.837953	7.236444	3.601510
F00010	11.036392	14.620617	3.584226
F00020	7.686078	11.216986	3.530908
F00004	10.586355	14.058612	3.472256
F00030	10.667805	14.055349	3.387543
F00012	7.864641	11.243705	3.379064
F00005	9.991710	6.613402	3.378307
F00006	10.662116	14.013099	3.350983
F00011	12.743476	9.440770	3.302706
F00022	10.333670	13.479187	3.145517
F00021	13.982473	10.857098	3.125374
F00018	9.499408	12.535340	3.035933
F00003	13.754466	10.755189	2.999277
F00008	9.344948	11.934731	2.589783
F00019	15.570130	13.135909	2.434221
F00015	10.844682	8.605474	2.239208
