pathway_id	mean_case	mean_control	delta_signal	activated
PWY_0001	12.972760	10.733942	2.238818	TRUE
PWY_0002	11.346350	8.717509	2.628841	TRUE
PWY_0003	7.358938	5.649685	1.709253	TRUE
PWY_0004	10.104546	8.333859	1.770687	TRUE
PWY_0005	9.098378	6.252794	2.845584	TRUE
PWY_0006	11.988134	10.221970	1.766164	TRUE
PWY_0007	6.531378	4.619897	1.911481	TRUE
PWY_0008	11.613945	9.979331	1.634614	TRUE
PWY_0009	7.451346	5.701214	1.750132	TRUE
PWY_0010	7.059865	4.727070	2.332795	TRUE
PWY_0011	7.370632	5.197412	2.173220	TRUE
PWY_0012	10.436045	9.828556	0.607489	FALSE
PWY_0013	8.287932	7.522595	0.765337	FALSE
PWY_0014	9.441253	8.573852	0.867401	FALSE
PWY_0015	6.603578	6.880769	-0.277191	FALSE
PWY_0016	9.644712	8.479978	1.164734	FALSE
PWY_0017	9.321758	9.335001	-0.013243	FALSE
PWY_0018	6.508375	7.005041	-0.496666	FALSE
PWY_0019	7.143462	5.877551	1.265911	FALSE
PWY_0020	11.724300	10.687895	1.036405	FALSE
PWY_0021	8.985463	8.414502	0.570961	FALSE
PWY_0022	7.077387	7.073461	0.003926	FALSE
PWY_0023	5.943965	6.093615	-0.149650	FALSE
PWY_0024	6.293894	7.243953	-0.950059	FALSE
PWY_0025	10.956963	11.915254	-0.958291	FALSE
PWY_0026	10.964992	10.416045	0.548947	FALSE
PWY_0027	5.636822	5.623940	0.012882	FALSE
PWY_0028	12.604628	11.337472	1.267156	FALSE
PWY_0029	9.307866	8.578342	0.729524	FALSE
PWY_0030	9.725439	10.196007	-0.470568	FALSE
PWY_0031	8.995733	8.703384	0.292349	FALSE
PWY_0032	8.182144	7.334646	0.847498	FALSE
PWY_0033	8.446356	7.772634	0.673722	FALSE
PWY_0034	5.408912	5.496697	-0.087785	FALSE
PWY_0035	5.519600	5.102512	0.417088	FALSE
PWY_0036	11.187933	11.029281	0.158652	FALSE
PWY_0037	9.135857	8.779631	0.356226	FALSE
PWY_0038	6.486179	6.720537	-0.234358	FALSE
PWY_0039	9.257483	8.841778	0.415705	FALSE
PWY_0040	7.657159	7.663715	-0.006556	FALSE
PWY_0041	7.408393	7.222648	0.185745	FALSE
PWY_0042	9.541519	9.922101	-0.380582	FALSE
PWY_0043	10.256196	9.333761	0.922435	FALSE
PWY_0044	9.380532	8.129601	1.250931	FALSE
PWY_0045	7.715953	6.617045	1.098908	FALSE
PWY_0046	6.127600	6.419013	-0.291413	FALSE
PWY_0047	10.158698	11.277242	-1.118544	FALSE
PWY_0048	9.790581	8.812290	0.978291	FALSE
PWY_0049	11.860691	11.355236	0.505455	FALSE
PWY_0050	7.234286	7.603553	-0.369267	FALSE
PWY_0051	8.901401	9.934594	-1.033193	FALSE
PWY_0052	5.699011	4.694861	1.004150	FALSE
PWY_0053	8.991886	9.784734	-0.792848	FALSE
PWY_0054	7.762522	8.239833	-0.477311	FALSE
PWY_0055	10.842813	11.327211	-0.484398	FALSE
PWY_0056	10.400705	9.741242	0.659463	FALSE
PWY_0057	6.946438	7.516186	-0.569748	FALSE
PWY_0058	8.547441	8.748134	-0.200693	FALSE
PWY_0059	8.968063	9.347670	-0.379607	FALSE
PWY_0060	10.486906	10.636150	-0.149244	FALSE
PWY_0061	6.321166	5.584838	0.736328	FALSE
PWY_0062	11.516662	11.013753	0.502909	FALSE
PWY_0063	9.315370	8.335898	0.979472	FALSE
PWY_0064	10.948142	12.124986	-1.176844	FALSE
PWY_0065	7.837594	8.990137	-1.152543	FALSE
PWY_0066	7.036961	7.632376	-0.595415	FALSE
PWY_0067	8.476300	7.983053	0.493247	FALSE
PWY_0068	10.751982	11.299910	-0.547928	FALSE
PWY_0069	5.730958	4.433344	1.297614	FALSE
PWY_0070	10.562770	10.386915	0.175855	FALSE
