feature_id	rna_effect	protein_effect	integrated_score
F00015	4.623381	3.656922	4.140151
F00007	4.722953	3.495213	4.109083
F00003	4.097318	4.002536	4.049927
F00019	3.384784	4.520487	3.952636
F00016	-3.603079	-4.253697	3.928388
F00017	3.230121	4.543428	3.886774
F00011	3.206588	4.533697	3.870143
F00005	4.108026	3.581386	3.844706
F00004	-3.391066	-4.188863	3.789965
F00021	4.415804	3.135757	3.775781
F00010	-4.226280	-3.278177	3.752229
F00002	-2.985975	-4.425079	3.705527
F00001	3.526048	3.592495	3.559272
F00024	-3.808845	-3.253349	3.531097
F00018	-3.983855	-3.056341	3.520098
F00008	-3.183984	-3.670810	3.427397
F00012	-3.556093	-3.228777	3.392435
F00023	2.731753	3.766322	3.249038
F00025	3.450815	2.934370	3.192592
F00022	-2.979529	-3.311386	3.145457
F00014	-3.484039	-2.805295	3.144667
F00013	2.412877	3.590092	3.001484
F00020	-3.781536	-2.133318	2.957427
F00006	-2.475621	-3.225358	2.850489
F00009	2.569546	2.921679	2.745613
