pathway_id	rna_signal	protein_signal	concordance_score	concordant
PATH_0001	1.304727	1.265655	1.265655	TRUE
PATH_0002	2.014484	1.304630	1.304630	TRUE
PATH_0003	3.002398	1.172492	1.172492	TRUE
PATH_0004	2.272404	1.731176	1.731176	TRUE
PATH_0005	2.904173	1.403359	1.403359	TRUE
PATH_0006	1.874433	1.734213	1.734213	TRUE
PATH_0007	1.690327	1.103174	1.103174	TRUE
PATH_0008	2.072552	1.266466	1.266466	TRUE
PATH_0009	2.395199	1.232766	1.232766	TRUE
PATH_0010	1.830918	1.951811	1.830918	TRUE
PATH_0011	3.010797	1.276253	1.276253	TRUE
PATH_0012	-1.002387	1.265251	-1.002387	FALSE
PATH_0013	-1.425674	1.689027	-1.425674	FALSE
PATH_0014	0.506928	-0.571374	-0.571374	FALSE
PATH_0015	1.432432	1.190782	1.190782	TRUE
PATH_0016	-0.297882	1.305238	-0.297882	FALSE
PATH_0017	-0.775981	0.631159	-0.775981	FALSE
PATH_0018	0.344762	1.332685	0.344762	FALSE
PATH_0019	-0.396579	-0.106166	-0.396579	FALSE
PATH_0020	1.192477	0.294632	0.294632	FALSE
PATH_0021	0.896930	0.734236	0.734236	FALSE
PATH_0022	0.833302	1.615345	0.833302	FALSE
PATH_0023	0.201478	0.839646	0.201478	FALSE
PATH_0024	-0.189174	-1.388555	-1.388555	FALSE
PATH_0025	1.139606	-0.864873	-0.864873	FALSE
PATH_0026	1.370666	1.697761	1.370666	TRUE
PATH_0027	0.803260	-0.904556	-0.904556	FALSE
PATH_0028	-0.320793	-0.130823	-0.320793	FALSE
PATH_0029	-1.243482	0.098685	-1.243482	FALSE
PATH_0030	0.506090	-0.323629	-0.323629	FALSE
PATH_0031	-0.838283	-1.191449	-1.191449	FALSE
PATH_0032	0.699111	-1.455098	-1.455098	FALSE
PATH_0033	-0.268302	-0.698046	-0.698046	FALSE
PATH_0034	0.361991	1.032822	0.361991	FALSE
PATH_0035	1.682036	0.735803	0.735803	FALSE
PATH_0036	1.971276	1.874207	1.874207	TRUE
PATH_0037	0.704967	-0.683194	-0.683194	FALSE
PATH_0038	0.193340	-0.878436	-0.878436	FALSE
PATH_0039	1.971852	0.055750	0.055750	FALSE
PATH_0040	1.130776	-1.345546	-1.345546	FALSE
PATH_0041	-1.028453	-0.823881	-1.028453	FALSE
PATH_0042	-0.602732	-0.267834	-0.602732	FALSE
PATH_0043	-0.548246	0.019940	-0.548246	FALSE
PATH_0044	-0.028749	-1.119827	-1.119827	FALSE
PATH_0045	-1.280869	-0.257285	-1.280869	FALSE
PATH_0046	-1.189239	0.016201	-1.189239	FALSE
PATH_0047	-1.470036	0.375304	-1.470036	FALSE
PATH_0048	-1.242806	0.929721	-1.242806	FALSE
PATH_0049	-0.085275	1.948719	-0.085275	FALSE
PATH_0050	-0.581110	0.153788	-0.581110	FALSE
PATH_0051	1.127852	-0.328093	-0.328093	FALSE
PATH_0052	-0.280715	0.736948	-0.280715	FALSE
PATH_0053	1.893901	1.593580	1.593580	TRUE
PATH_0054	-0.033368	1.012013	-0.033368	FALSE
PATH_0055	0.876682	-0.197616	-0.197616	FALSE
PATH_0056	-0.677628	-1.225682	-1.225682	FALSE
PATH_0057	1.576181	-1.299943	-1.299943	FALSE
PATH_0058	0.315436	0.381377	0.315436	FALSE
PATH_0059	-0.988513	0.795761	-0.988513	FALSE
PATH_0060	1.705381	1.216465	1.216465	TRUE
PATH_0061	-0.137593	-1.057355	-1.057355	FALSE
PATH_0062	1.912253	0.309862	0.309862	FALSE
PATH_0063	0.703662	1.307968	0.703662	FALSE
PATH_0064	-0.148138	-1.282805	-1.282805	FALSE
PATH_0065	-1.023945	0.839565	-1.023945	FALSE
PATH_0066	-0.276611	1.548770	-0.276611	FALSE
PATH_0067	1.090576	1.931537	1.090576	TRUE
PATH_0068	0.840920	-0.436680	-0.436680	FALSE
PATH_0069	1.268882	-1.401097	-1.401097	FALSE
PATH_0070	0.325568	1.549881	0.325568	FALSE
PATH_0071	0.301517	-1.019200	-1.019200	FALSE
PATH_0072	0.250429	0.409102	0.250429	FALSE
