protein_id	case_mean	control_mean	delta_log2
P00022	20.985615	26.182085	5.196471
P00006	25.949840	31.140118	5.190278
P00003	30.767286	25.646782	5.120504
P00014	24.523189	29.605840	5.082652
P00023	31.584833	26.682797	4.902036
P00008	19.124877	23.993867	4.868990
P00004	24.682928	29.424061	4.741132
P00012	22.411687	26.996257	4.584570
P00013	30.276430	25.765228	4.511201
P00017	31.400526	26.947210	4.453316
P00009	28.936499	24.615799	4.320700
P00007	28.310486	23.995994	4.314493
P00019	25.178626	20.919026	4.259599
P00002	23.916644	28.129884	4.213240
P00010	20.386981	24.582100	4.195119
P00024	26.916774	31.083333	4.166559
P00001	26.867299	22.711504	4.155795
P00005	28.098270	24.166677	3.931594
P00025	23.354700	19.650279	3.704421
P00021	28.624027	25.136328	3.487699
P00018	21.361109	24.591768	3.230659
P00011	28.041583	24.865335	3.176248
P00015	29.601162	26.637388	2.963774
P00016	22.819097	25.703479	2.884381
P00020	23.921075	26.737398	2.816324
