region_id	mean_case	mean_control	delta_beta	hypermethylated
region_0001	0.634802	0.260585	0.374217	TRUE
region_0002	0.347275	0.059159	0.288116	TRUE
region_0003	0.347978	0.011015	0.336963	TRUE
region_0004	0.401318	0.125705	0.275613	TRUE
region_0005	0.756105	0.526274	0.229831	TRUE
region_0006	0.379241	0.105005	0.274236	TRUE
region_0007	0.789740	0.484160	0.305580	TRUE
region_0008	0.716774	0.334609	0.382165	TRUE
region_0009	0.438025	0.137773	0.300252	TRUE
region_0010	0.430399	0.069714	0.360685	TRUE
region_0011	0.340035	0.010000	0.330035	TRUE
region_0012	0.521181	0.197835	0.323346	TRUE
region_0013	0.332298	0.191406	0.140892	FALSE
region_0014	0.343963	0.336655	0.007308	FALSE
region_0015	0.736535	0.689571	0.046964	FALSE
region_0016	0.315083	0.370650	-0.055567	FALSE
region_0017	0.736866	0.655948	0.080918	FALSE
region_0018	0.544805	0.509546	0.035259	FALSE
region_0019	0.660902	0.745198	-0.084296	FALSE
region_0020	0.425250	0.317707	0.107543	FALSE
region_0021	0.570992	0.517236	0.053756	FALSE
region_0022	0.550427	0.538135	0.012292	FALSE
region_0023	0.485671	0.485496	0.000175	FALSE
region_0024	0.696994	0.740723	-0.043729	FALSE
region_0025	0.287883	0.319815	-0.031932	FALSE
region_0026	0.271122	0.218814	0.052308	FALSE
region_0027	0.446521	0.547368	-0.100847	FALSE
region_0028	0.364545	0.237172	0.127373	FALSE
region_0029	0.345544	0.277895	0.067649	FALSE
region_0030	0.360372	0.435286	-0.074914	FALSE
region_0031	0.761546	0.704204	0.057342	FALSE
region_0032	0.320496	0.278329	0.042167	FALSE
region_0033	0.379352	0.277461	0.101891	FALSE
region_0034	0.163858	0.162051	0.001807	FALSE
region_0035	0.572208	0.486265	0.085943	FALSE
region_0036	0.159318	0.265001	-0.105683	FALSE
region_0037	0.445208	0.399917	0.045291	FALSE
region_0038	0.376146	0.479591	-0.103445	FALSE
region_0039	0.348881	0.271896	0.076985	FALSE
region_0040	0.535468	0.391087	0.144381	FALSE
region_0041	0.207287	0.154758	0.052529	FALSE
region_0042	0.505284	0.500511	0.004773	FALSE
region_0043	0.181541	0.195747	-0.014206	FALSE
region_0044	0.302778	0.376462	-0.073684	FALSE
region_0045	0.604392	0.698352	-0.093960	FALSE
region_0046	0.238548	0.106392	0.132156	FALSE
region_0047	0.752062	0.691078	0.060984	FALSE
region_0048	0.494562	0.414656	0.079906	FALSE
region_0049	0.158022	0.206463	-0.048441	FALSE
region_0050	0.400762	0.488334	-0.087572	FALSE
region_0051	0.703724	0.659034	0.044690	FALSE
region_0052	0.315989	0.266142	0.049847	FALSE
region_0053	0.685113	0.623719	0.061394	FALSE
region_0054	0.728715	0.632904	0.095811	FALSE
region_0055	0.547697	0.411973	0.135724	FALSE
region_0056	0.658758	0.699102	-0.040344	FALSE
region_0057	0.240212	0.317234	-0.077022	FALSE
region_0058	0.631839	0.525462	0.106377	FALSE
region_0059	0.550576	0.393691	0.156885	FALSE
region_0060	0.324266	0.380386	-0.056120	FALSE
region_0061	0.398371	0.326090	0.072281	FALSE
region_0062	0.486346	0.347882	0.138464	FALSE
region_0063	0.430920	0.307303	0.123617	FALSE
region_0064	0.592371	0.565095	0.027276	FALSE
region_0065	0.772574	0.703588	0.068986	FALSE
region_0066	0.761202	0.603992	0.157210	FALSE
region_0067	0.576870	0.574747	0.002123	FALSE
region_0068	0.391012	0.247791	0.143221	FALSE
region_0069	0.436356	0.294226	0.142130	FALSE
region_0070	0.294391	0.352577	-0.058186	FALSE
region_0071	0.740586	0.676248	0.064338	FALSE
region_0072	0.244712	0.236492	0.008220	FALSE
region_0073	0.291580	0.291348	0.000232	FALSE
region_0074	0.579679	0.506765	0.072914	FALSE
region_0075	0.764402	0.607261	0.157141	FALSE
