snp_id	pvalue	significant
rs00001	1.5374598e-12	TRUE
rs00002	2.6211778e-14	TRUE
rs00003	1.6349553e-16	TRUE
rs00004	4.5092298e-16	TRUE
rs00005	1.2441921e-15	TRUE
rs00006	5.5500635e-13	TRUE
rs00007	1.3608668e-19	TRUE
rs00008	2.6211778e-14	TRUE
rs00009	2.0670658e-15	TRUE
rs00010	1.7993564e-20	TRUE
rs00011	9.1273418e-11	TRUE
rs00012	3.7440974e-19	TRUE
rs00013	4.5092298e-16	TRUE
rs00014	1.0304055e-18	TRUE
rs00015	0.91249653	FALSE
rs00016	0.067490093	FALSE
rs00017	0.5418091	FALSE
rs00018	0.94864199	FALSE
rs00019	0.72124269	FALSE
rs00020	0.014700981	FALSE
rs00021	0.92571282	FALSE
rs00022	0.32834958	FALSE
rs00023	0.10812047	FALSE
rs00024	0.065746124	FALSE
rs00025	0.72211324	FALSE
rs00026	0.68915652	FALSE
rs00027	0.1989901	FALSE
rs00028	0.89420118	FALSE
rs00029	0.048149352	FALSE
rs00030	0.53197106	FALSE
rs00031	0.1043904	FALSE
rs00032	0.1795988	FALSE
rs00033	0.72124269	FALSE
rs00034	0.46177285	FALSE
rs00035	0.33458875	FALSE
rs00036	0.53197106	FALSE
rs00037	0.31774629	FALSE
rs00038	0.14535529	FALSE
rs00039	0.57977514	FALSE
rs00040	0.40465676	FALSE
rs00041	0.27005761	FALSE
rs00042	0.87918558	FALSE
rs00043	0.15312745	FALSE
rs00044	0.19888937	FALSE
rs00045	0.11034628	FALSE
rs00046	0.29544055	FALSE
rs00047	0.60919148	FALSE
rs00048	0.99078321	FALSE
rs00049	0.42525232	FALSE
rs00050	0.94864199	FALSE
rs00051	0.24575811	FALSE
rs00052	0.45885065	FALSE
rs00053	0.44146714	FALSE
rs00054	0.33955684	FALSE
rs00055	0.62460182	FALSE
rs00056	0.64825053	FALSE
rs00057	0.42525232	FALSE
rs00058	0.58317019	FALSE
rs00059	0.53891189	FALSE
rs00060	0.70125143	FALSE
rs00061	0.30997522	FALSE
rs00062	0.93626302	FALSE
rs00063	0.82301365	FALSE
rs00064	0.65170929	FALSE
rs00065	0.23013934	FALSE
rs00066	0.68961289	FALSE
rs00067	0.61102066	FALSE
rs00068	0.0093747879	TRUE
rs00069	0.7840126	FALSE
rs00070	0.15142637	FALSE
rs00071	0.87083211	FALSE
rs00072	0.11712601	FALSE
rs00073	0.93739465	FALSE
rs00074	0.15312745	FALSE
rs00075	0.04734477	FALSE
rs00076	0.79506414	FALSE
rs00077	0.41115621	FALSE
rs00078	0.97134851	FALSE
rs00079	0.17560238	FALSE
rs00080	0.49347112	FALSE
rs00081	0.62460182	FALSE
rs00082	0.7186802	FALSE
rs00083	0.11859605	FALSE
rs00084	0.2529069	FALSE
rs00085	0.79245103	FALSE
rs00086	0.24800232	FALSE
rs00087	0.59960773	FALSE
rs00088	0.3877047	FALSE
rs00089	0.63393868	FALSE
rs00090	0.87918558	FALSE
rs00091	0.93626302	FALSE
rs00092	0.61457576	FALSE
rs00093	0.98614853	FALSE
rs00094	0.51611175	FALSE
rs00095	0.1043904	FALSE
rs00096	0.68915652	FALSE
rs00097	0.10047428	FALSE
rs00098	0.43147149	FALSE
rs00099	0.76722222	FALSE
rs00100	0.68915652	FALSE
rs00101	0.084174677	FALSE
rs00102	0.66108974	FALSE
rs00103	0.16915111	FALSE
rs00104	0.23013934	FALSE
rs00105	0.28397677	FALSE
rs00106	0.97959597	FALSE
rs00107	0.84454878	FALSE
rs00108	0.84192624	FALSE
rs00109	0.52819855	FALSE
rs00110	0.067490093	FALSE
rs00111	0.58269629	FALSE
rs00112	0.50079792	FALSE
rs00113	0.55868946	FALSE
rs00114	0.80480233	FALSE
rs00115	0.26652053	FALSE
rs00116	0.67692224	FALSE
rs00117	0.50498508	FALSE
rs00118	0.51611175	FALSE
rs00119	0.33955684	FALSE
rs00120	0.86992851	FALSE
rs00121	0.041141627	FALSE
rs00122	0.72124269	FALSE
rs00123	0.26384703	FALSE
rs00124	0.46060972	FALSE
rs00125	0.74211923	FALSE
rs00126	0.84037381	FALSE
rs00127	0.61897217	FALSE
rs00128	0.16154194	FALSE
rs00129	0.77930959	FALSE
rs00130	0.58317019	FALSE
rs00131	0.35330382	FALSE
rs00132	0.31328676	FALSE
rs00133	0.22257922	FALSE
rs00134	0.083036439	FALSE
rs00135	0.95206379	FALSE
rs00136	0.8483908	FALSE
rs00137	0.03184517	FALSE
rs00138	0.73773891	FALSE
rs00139	0.31574362	FALSE
rs00140	0.23689013	FALSE
rs00141	0.47630954	FALSE
rs00142	0.4305437	FALSE
rs00143	0.15142637	FALSE
rs00144	0.54216087	FALSE
rs00145	0.90072929	FALSE
rs00146	0.90450551	FALSE
rs00147	0.84192624	FALSE
rs00148	0.88652277	FALSE
rs00149	0.47952254	FALSE
rs00150	0.38453805	FALSE
