chr	start	end	nearest_gene	distance_to_tss	feature
chr21	13609140	13609640	POTED	-386	promoter
chr21	14377251	14377772	HSPA13	5973	intron
chr21	15065394	15065926	NRIP1	276	promoter
chr21	15729521	15730318	USP25	-62	promoter
chr21	17512907	17513705	CXADR	264	promoter
chr21	17901404	17901918	CHODL	399	promoter
chr21	25734848	25735264	GABPA	487	promoter
chr21	26170337	26171063	APP	428	promoter
chr21	26845609	26845879	ADAMTS1	-335	promoter
chr21	28884787	28885239	N6AMT1	358	promoter
chr21	28992579	28993149	LTN1	92	promoter
chr21	29019041	29019784	RWDD2B	-52	promoter
chr21	29024429	29024752	USP16	-38	promoter
chr21	29073933	29074455	CCT8	-397	promoter
chr21	29193461	29194231	BACH1	-224	promoter
chr21	30216426	30216706	CLDN8	-469	promoter
chr21	30297689	30298324	KRTAP25-1	-8492	intergenic
chr21	30337053	30337469	KRTAP27-1	433	promoter
chr21	30425791	30426099	KRTAP13-3	-19	promoter
chr21	30429984	30430345	KRTAP13-4	-55	promoter
chr21	30439645	30439917	KRTAP15-1	-493	promoter
chr21	30486937	30487422	KRTAP19-2	257	promoter
chr21	30509674	30510164	KRTAP19-5	-7778	intergenic
chr21	30572389	30572982	KRTAP19-7	-11371	intergenic
chr21	30590121	30590754	KRTAP22-2	-40	promoter
chr21	30592417	30592682	KRTAP6-3	110	promoter
chr21	30614241	30614473	KRTAP6-1	-427	promoter
chr21	30620180	30620521	KRTAP20-4	-276	promoter
chr21	30635243	30635560	KRTAP20-2	196	promoter
chr21	30642536	30643010	KRTAP20-3	-90	promoter
chr21	30718848	30719253	KRTAP21-3	-273	promoter
chr21	30746928	30747633	KRTAP21-2	-21	promoter
chr21	30829822	30830345	KRTAP7-1	-324	promoter
chr21	31731447	31732018	SCAF4	386	promoter
chr21	31873130	31873668	HUNK	380	promoter
chr21	32291430	32291662	MRAP	-266	promoter
chr21	32393025	32393573	URB1	-287	promoter
chr21	32587344	32587863	TCP10L	-230	promoter
chr21	32612723	32613051	CFAP298	-284	promoter
chr21	32734799	32735105	PAXBP1	36840	exon
chr21	33351748	33352149	IFNAR1	27562	intron
chr21	33479976	33480695	TMEM50B	-361	promoter
chr21	33491855	33492567	DNAJC28	-495	promoter
chr21	33543339	33543870	GART	-113	promoter
chr21	33588306	33588575	DONSON	266	promoter
chr21	33641922	33642347	ITSN1	-265	promoter
chr21	33644014	33644776	CRYZL1	-469	promoter
chr21	33915908	33916168	ATP5PO	-224	promoter
chr21	33931947	33932147	ENSG00000249209	-440	promoter
chr21	33959329	33959554	ENSG00000249209	-27834	intergenic
chr21	34072816	34073513	SLC5A3	-413	promoter
chr21	34364103	34364468	KCNE2	280	promoter
chr21	34400979	34401702	SMIM11	25861	intron
chr21	34522309	34523070	ENSG00000288711	92224	intron
chr21	34713634	34714150	CLIC6	44899	intron
chr21	35048878	35049293	RUNX1	955582	exon
chr21	36070216	36070427	CBR1	381	promoter
chr21	36134895	36135364	CBR3	51	promoter
chr21	36410413	36410684	CHAF1B	25157	intron
chr21	36990060	36990809	HLCS	-198	promoter
chr21	37072308	37073075	PIGP	479	promoter
chr21	37072841	37073100	TTC3	-255	promoter
chr21	37236050	37236377	VPS26C	31706	intron
chr21	38142964	38143507	KCNJ15	-12313	intergenic
chr21	38343358	38343632	KCNJ15	187947	intergenic
chr21	39237206	39237973	BRWD1	83970	intron
chr21	39327091	39327541	BRWD1	-5757	intergenic
chr21	39362466	39362817	HMGN1	-12994	intergenic
chr21	39445274	39445522	LCA5L	407	promoter
chr21	41111050	41111659	BACE2	-56446	intergenic
chr21	41238399	41239029	BACE2	70914	intron
chr21	41304048	41304745	FAM3B	185	promoter
chr21	41361354	41362134	MX2	-254	promoter
chr21	41530527	41530998	TMPRSS2	354	promoter
chr21	41879388	41880133	PRDM15	-278	promoter
chr21	41933314	41933848	C2CD2	20437	intron
chr21	42010382	42011014	ZBTB21	-311	promoter
chr21	42062201	42062985	UMODL1	-365	promoter
chr21	42350431	42350902	TFF2	331	promoter
chr21	42371962	42372432	TMPRSS3	23894	exon
chr21	42403478	42403951	UBASH3A	268	promoter
chr21	42496121	42496895	RSPH1	-262	promoter
chr21	42521470	42522260	SLC37A1	25858	intron
chr21	42592340	42592780	PDE9A	-61060	intergenic
chr21	42746024	42746269	PDE9A	92526	intron
chr21	42879793	42880105	WDR4	-381	promoter
chr21	42918989	42919348	ERVH48-1	6462	exon
chr21	43076231	43076917	CBS	369	promoter
chr21	43156404	43156921	CRYAA	-12345	intergenic
chr21	43564860	43565448	H2BC12L	-27	promoter
chr21	43659105	43659687	HSF2BP	92	promoter
chr21	43670542	43671035	RRP1B	11229	intron
chr21	43776101	43776780	CSTB	-110	promoter
chr21	43789587	43790339	RRP1	451	promoter
chr21	43979194	43979597	TRAPPC10	-32913	intergenic
chr21	44240808	44241519	ICOSLG	283	promoter
chr21	44270611	44270991	DNMT3L	-8585	intergenic
chr21	44295901	44296279	AIRE	10253	intron
chr21	44321140	44321341	PFKL	21190	intron
chr21	44350025	44350228	TRPM2	-36	promoter
chr21	44455322	44455779	LRRC3	41	promoter
chr21	44558394	44558984	KRTAP10-3	106	promoter
chr21	44580693	44581075	KRTAP10-5	-280	promoter
chr21	44612123	44612903	KRTAP10-8	435	promoter
chr21	44627327	44627584	KRTAP10-9	363	promoter
chr21	44645705	44646251	KRTAP10-11	-435	promoter
chr21	44732578	44733202	TSPEAR	-21318	intergenic
chr21	44801717	44801936	UBE2G2	0	promoter
chr21	44873487	44874216	PTTG1IP	52	promoter
chr21	44932128	44932633	ITGB2	-391	promoter
chr21	44939389	44939971	SLX9	-344	promoter
chr21	45405406	45405875	COL18A1	476	promoter
chr21	45531599	45531917	SLC19A1	41607	exon
chr21	45981880	45982646	COL6A1	494	promoter
chr21	46155117	46155547	FTCD	247	promoter
chr21	46184398	46184801	SPATC1L	-123	promoter
chr21	46323218	46323970	C21orf58	281	promoter
chr21	46325858	46326527	ENSG00000286224	-95	promoter
chr21	46417379	46417584	DIP2A	-41409	intergenic
chr21	46458365	46458728	DIP2A	-344	promoter
