contig_id	mismatches	aligned_bases	mismatch_rate	high_error
contig_001	973	51675	0.01882922	TRUE
contig_002	1984	77943	0.02545450	TRUE
contig_003	1618	75419	0.02145348	TRUE
contig_004	599	24651	0.02429922	TRUE
contig_005	2031	82882	0.02450472	TRUE
contig_006	1382	74098	0.01865098	TRUE
contig_007	1122	48436	0.02316459	TRUE
contig_008	425	18330	0.02318603	TRUE
contig_009	2055	88096	0.02332683	TRUE
contig_010	2787	87490	0.03185507	TRUE
contig_011	1152	38637	0.02981598	TRUE
contig_012	410	49743	0.00824237	FALSE
contig_013	442	41539	0.01064060	FALSE
contig_014	191	26902	0.00709984	FALSE
contig_015	713	60817	0.01172370	FALSE
contig_016	144	32076	0.00448934	FALSE
contig_017	502	43482	0.01154501	FALSE
contig_018	617	50508	0.01221589	FALSE
contig_019	261	21413	0.01218886	FALSE
contig_020	347	46051	0.00753512	FALSE
contig_021	208	71340	0.00291562	FALSE
contig_022	235	25737	0.00913082	FALSE
contig_023	138	40047	0.00344595	FALSE
contig_024	230	33685	0.00682796	FALSE
contig_025	864	78844	0.01095835	FALSE
contig_026	412	88471	0.00465689	FALSE
contig_027	232	54826	0.00423157	FALSE
contig_028	219	68751	0.00318541	FALSE
contig_029	449	71121	0.00631318	FALSE
contig_030	211	22730	0.00928289	FALSE
contig_031	160	26768	0.00597729	FALSE
contig_032	213	36971	0.00576127	FALSE
contig_033	239	79137	0.00302008	FALSE
contig_034	566	46534	0.01216315	FALSE
contig_035	1064	86858	0.01224988	FALSE
contig_036	428	65591	0.00652529	FALSE
contig_037	197	68419	0.00287932	FALSE
contig_038	198	19389	0.01021198	FALSE
contig_039	86	27510	0.00312614	FALSE
contig_040	388	49296	0.00787082	FALSE
contig_041	1121	86774	0.01291862	FALSE
contig_042	242	43644	0.00554486	FALSE
contig_043	143	44875	0.00318663	FALSE
contig_044	221	53125	0.00416000	FALSE
contig_045	215	32871	0.00654072	FALSE
contig_046	577	67928	0.00849429	FALSE
contig_047	77	35367	0.00217717	FALSE
contig_048	433	41941	0.01032403	FALSE
contig_049	389	84281	0.00461551	FALSE
contig_050	227	65252	0.00347882	FALSE
contig_051	720	65289	0.01102789	FALSE
contig_052	78	24416	0.00319463	FALSE
contig_053	331	69033	0.00479481	FALSE
contig_054	322	64473	0.00499434	FALSE
contig_055	566	54244	0.01043433	FALSE
contig_056	210	60406	0.00347648	FALSE
contig_057	492	68558	0.00717641	FALSE
contig_058	442	37390	0.01182134	FALSE
contig_059	326	54371	0.00599584	FALSE
contig_060	118	23771	0.00496403	FALSE
contig_061	72	24128	0.00298408	FALSE
contig_062	607	82150	0.00738892	FALSE
contig_063	493	64082	0.00769327	FALSE
contig_064	645	56875	0.01134066	FALSE
contig_065	635	65627	0.00967590	FALSE
contig_066	496	75923	0.00653293	FALSE
contig_067	37	15108	0.00244903	FALSE
contig_068	78	30899	0.00252435	FALSE
contig_069	468	42933	0.01090071	FALSE
contig_070	597	78408	0.00761402	FALSE
