snp_id	af_popA	af_popB	delta_af
rs00019	0.990000	0.136693	0.853307
rs00007	0.953136	0.131435	0.821701
rs00006	0.010000	0.811503	0.801503
rs00013	0.888034	0.123983	0.764051
rs00003	0.990000	0.237610	0.752390
rs00004	0.088147	0.827594	0.739447
rs00011	0.880544	0.141831	0.738713
rs00008	0.122471	0.758851	0.636380
rs00012	0.359516	0.990000	0.630484
rs00010	0.082954	0.693591	0.610638
rs00020	0.356271	0.966382	0.610112
rs00014	0.091406	0.687060	0.595654
rs00009	0.990000	0.394553	0.595447
rs00018	0.010000	0.569647	0.559647
rs00015	0.545794	0.010000	0.535794
rs00002	0.010000	0.543545	0.533545
rs00016	0.467803	0.990000	0.522197
rs00017	0.990000	0.476317	0.513683
rs00001	0.486093	0.010000	0.476093
rs00005	0.426424	0.010000	0.416424
