join_id	left_contig	right_contig	overlap_length	identity	join_score
join_0014	contig_063	contig_006	69447	0.969736	67345.235382
join_0010	contig_039	contig_053	63444	0.958456	60808.263987
join_0009	contig_045	contig_076	58601	0.978348	57332.193495
join_0008	contig_029	contig_048	57978	0.974936	56524.847306
join_0002	contig_070	contig_080	50532	0.956881	48353.122837
join_0012	contig_054	contig_008	50732	0.944012	47891.601955
join_0003	contig_077	contig_017	48467	0.952789	46178.800394
join_0006	contig_012	contig_065	46814	0.979934	45874.632006
join_0007	contig_054	contig_033	43654	0.959080	41867.687808
join_0015	contig_071	contig_051	41352	0.946646	39145.696743
join_0004	contig_019	contig_004	40548	0.965039	39130.402951
join_0001	contig_010	contig_077	38207	0.958919	36637.423143
join_0005	contig_002	contig_058	30522	0.982482	29987.318170
join_0013	contig_019	contig_039	29993	0.993140	29787.239429
join_0011	contig_059	contig_028	28750	0.943023	27111.900304
